Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Stability Ball Dead Bug;https://youtu.be/5jDEulwWs04;https://youtu.be/5jDEulwWs04;Beginner;Abdominals;Rectus Abdominis;Obliques;Rectus Femoris;Stability Ball;1;None;0;Supine;Single Arm;Alternating;Neutral;Other;Alternating;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Bodyweight Glute Bridge;https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE;https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Erector Spinae;Bodyweight;1;None;0;Bridge;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Bodyweight Bird Dog;https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6;https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6;Beginner;Abdominals;Rectus Abdominis;Gluteus Maximus;Erector Spinae;Bodyweight;1;None;0;Quadruped;Single Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Anti-Rotational;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Stability Ball Russian Twist ;https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk;https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk;Beginner;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Stability Ball;1;None;0;Seated Floor;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Stability Ball Feet Elevated Crunch ;https://youtu.be/ByXVlY2L3nw;https://youtu.be/ByXVlY2L3nw;Beginner;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Stability Ball;1;None;0;Supine;No Arms;Continuous;Head Supported;No Load;Continuous;Feet Elevated;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Isolation;Bilateral;Unsorted*
Ring Hanging Knee Raise ;https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0;https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0;Intermediate;Abdominals;Rectus Abdominis;Iliopsoas;Rectus Femoris;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Parallette Mountain Climber;https://youtu.be/W0RoAqlFzrA;https://youtu.be/W0RoAqlFzrA;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Anterior Deltoids;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Alternating;No Elevation;Single Exercise;Anti-Extension;Spinal Flexion;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Parallette Push Up;https://youtu.be/Kbhl_O1N4aw;https://youtu.be/Kbhl_O1N4aw;Novice;Chest;Pectoralis Major;Triceps Brachii;;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Bodyweight Knee Hover Bird Dog;https://youtu.be/fGaqVUHB1aA;https://youtu.be/fGaqVUHB1aA;Intermediate;Abdominals;Rectus Abdominis;Gluteus Maximus;Erector Spinae;Bodyweight;1;None;0;Knee Hover Quadruped;Single Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Anti-Rotational;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Stability Ball V Up Pass;https://youtu.be/n4UPDi5BuL0;https://youtu.be/n4UPDi5BuL0;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Stability Ball;1;None;0;Supine;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bodyweight Dead Bug;https://youtu.be/jbWmbhElf3Q;https://youtu.be/jbWmbhElf3Q;Beginner;Abdominals;Rectus Abdominis;Obliques;Rectus Femoris;Bodyweight;1;None;0;Supine;Single Arm;Alternating;No Grip;No Load;Alternating;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Postural
Bodyweight Alternating Heel Taps;https://youtu.be/URWXz0DmE7s;https://youtu.be/URWXz0DmE7s;Beginner;Abdominals;Obliques;Rectus Abdominis;;Bodyweight;1;None;0;Supine;Double Arm;Alternating;No Grip;No Load;Continuous;No Elevation;Single Exercise;Lateral Flexion;;;Frontal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Bodyweight Flutter Kicks;https://youtu.be/e_s7uBNPnow;https://youtu.be/e_s7uBNPnow;Beginner;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Supine;No Arms;Continuous;No Grip;No Load;Alternating;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Bodyweight Kneeling Forearm Plank;https://youtu.be/Ns1NS9ThNhI;https://youtu.be/Ns1NS9ThNhI;Beginner;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Frontal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Bodyweight Seated Ab Circles;https://youtu.be/GflQ_ymx9Nw;https://youtu.be/GflQ_ymx9Nw;Novice;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Seated Floor;No Arms;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Ring Hanging Oblique Knee Raise;0;0;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Stability Ball Stir the Pot;https://youtu.be/IfOtFv6zz8I;https://youtu.be/IfOtFv6zz8I;Novice;Abdominals;Rectus Abdominis;;;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;Spinal Rotational;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bodyweight Alternating Lateral Kick Through;https://youtu.be/1jCudOtlLsc;https://youtu.be/1jCudOtlLsc;Intermediate;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Knee Hover Quadruped;Double Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Rotational;;;Frontal Plane;;;Midsection;Other;Compound;Unilateral;Animal Flow
Ring L Sit Hang Flutter Kicks ;https://youtu.be/Y7Ua1YRsqd0;https://youtu.be/Y7Ua1YRsqd0;Intermediate;Abdominals;Rectus Abdominis;;;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Alternating;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Slam Ball Russian Twist;https://youtu.be/qyZ0pAtgo_Y;https://youtu.be/qyZ0pAtgo_Y;Intermediate;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Slam Ball;1;None;0;Seated Floor;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Dumbbell Otis Up;https://youtu.be/vjAjAERSkIk;https://youtu.be/vjAjAERSkIk;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Dumbbell;1;None;0;Supine;Double Arm;Continuous;Crush Grip;Overhead;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Single Arm Dumbbell Side Plank Reach Through ;https://youtu.be/Ec9Ymqhe5i4;https://youtu.be/Ec9Ymqhe5i4;Advanced;Abdominals;Obliques;Rectus Abdominis;;Dumbbell;1;None;0;Side Plank;Single Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Anti-Lateral Flexion;Spinal Rotational;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Ab Wheel Kneeling Rollout;https://youtu.be/QB2Gj1QGfjQ;https://youtu.be/QB2Gj1QGfjQ;Novice;Abdominals;Rectus Abdominis;Latissimus Dorsi;Serratus Anterior;Ab Wheel;1;None;0;Prone;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Cable Seated Crunch;https://youtu.be/gQT76pz_X9Y;https://youtu.be/gQT76pz_X9Y;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Cable;1;Bench (Flat);1;Seated;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Isolation;Bilateral;Unsorted*
Cable Kneeling Crunch;https://youtu.be/ToJeyhydUxU;https://youtu.be/ToJeyhydUxU;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Cable;1;None;0;Kneeling;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Isolation;Bilateral;Unsorted*
Medicine Ball V Up;0;0;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Medicine Ball;1;None;0;Supine;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Suspension Knee Tuck;https://youtu.be/z2tctrNfTrY;https://youtu.be/z2tctrNfTrY;Novice;Abdominals;Rectus Abdominis;;;Suspension Trainer;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Feet Elevated;Single Exercise;Spinal Flexion;Anti-Extension;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Suspension Lateral Knee Tuck;https://youtu.be/nedEXGnhHak;https://youtu.be/nedEXGnhHak;Intermediate;Abdominals;Rectus Abdominis;;;Suspension Trainer;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Feet Elevated;Single Exercise;Rotational;Spinal Flexion;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Suspension Archer Row ;https://youtu.be/O0wf46CgVZg;https://youtu.be/O0wf46CgVZg;Novice;Shoulders;Posterior Deltoids;;;Suspension Trainer;1;None;0;Standing;Double Arm;Alternating;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Pull;;;Frontal Plane;;;Upper Body;Pull;Compound;Unilateral;Unsorted*
Single Arm Dumbbell Turkish Get Up;https://youtu.be/saYKvqSscuY;https://youtu.be/saYKvqSscuY;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Dumbbell;1;None;0;Supine;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;Sagittal Plane;;Full Body;Other;Compound;Unilateral;Grinds
Bodyweight Bear Crawl;https://youtu.be/8y-C1wUb-3c;https://youtu.be/8y-C1wUb-3c;Novice;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Knee Hover Quadruped;Double Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Unsorted*;;;Sagittal Plane;;;Midsection;Other;Compound;Contralateral;Animal Flow
Stability Ball Knee Tuck;https://youtu.be/Q8MnsYG5sbk?si=8Aln2doES1PVTKQP;https://youtu.be/Q8MnsYG5sbk?si=8Aln2doES1PVTKQP;Novice;Abdominals;Rectus Abdominis;;;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Feet Elevated;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Ring Hanging Leg Raise ;https://youtu.be/IMWzJ7zkklA;https://youtu.be/IMWzJ7zkklA;Advanced;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Parallette L Sit;https://youtu.be/lLu9U0G7Ogw;https://youtu.be/lLu9U0G7Ogw;Advanced;Abdominals;Rectus Abdominis;;;Parallette Bars;2;None;0;L Sit;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Isometric Hold;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Bodyweight Standing Walkout Plank;https://youtu.be/R6SMJ-TzgZo;https://youtu.be/R6SMJ-TzgZo;Intermediate;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Standing;Double Arm;Alternating;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
Ring Eccentric Pull Up;https://youtu.be/4vEoBieXyKk;https://youtu.be/4vEoBieXyKk;Novice;Back;Latissimus Dorsi;;;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Vertical Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Barbell Climb;0;0;Expert;Abdominals;Rectus Abdominis;;;Barbell;1;None;0;Standing;Double Arm;Alternating;Neutral;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Bodyweight Ipsilateral Bird Dog;https://youtu.be/8e1m4FNO7t8;https://youtu.be/8e1m4FNO7t8;Advanced;Abdominals;Rectus Abdominis;Gluteus Maximus;Erector Spinae;Bodyweight;1;None;0;Quadruped;Single Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Sagittal Plane;;;Midsection;Other;Compound;Ipsilateral;Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow;0;0;Advanced;Adductors;Adductor Magnus;;;Bodyweight;1;Bench (Flat);1;Side Plank;Single Arm;Continuous;Forearm;No Load;Continuous;Foot Elevated (Side);Single Exercise;Hip Adduction;;;Transverse Plane;;;Lower Body;Other;Compound;Unilateral;Unsorted*
Ring Eccentric Chin Up;https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO;https://youtu.be/QvgPN5XfDX8?si=0U64Q99rkmh8yNmO;Novice;Biceps;Biceps Brachii;Latissimus Dorsi;;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Supinated;No Load;Continuous;No Elevation;Single Exercise;Vertical Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation;https://youtu.be/HeY0G79zbGA?si=qV6g26pqatUMpDew;https://youtu.be/HeY0G79zbGA?si=qV6g26pqatUMpDew;Novice;Shoulders;Posterior Deltoids;Infraspinatus;Teres Minor;Dumbbell;1;Bench (Flat);1;Seated;Single Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Shoulder External Rotation;;;Transverse Plane;;;Upper Body;Pull;Isolation;Unilateral;Unsorted*
Double Dumbbell Seated Cuban Rotation;https://youtu.be/oYGHjG0jZuA;https://youtu.be/oYGHjG0jZuA;Novice;Shoulders;Posterior Deltoids;Infraspinatus;Teres Minor;Dumbbell;2;Bench (Flat);1;Seated;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Shoulder External Rotation;;;Transverse Plane;;;Upper Body;Pull;Isolation;Bilateral;Unsorted*
Double Dumbbell Standing Cuban Rotation;https://youtu.be/_Cfrbn8dxH4;https://youtu.be/_Cfrbn8dxH4;Novice;Shoulders;Posterior Deltoids;Infraspinatus;Teres Minor;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Shoulder External Rotation;;;Transverse Plane;;;Upper Body;Pull;Isolation;Bilateral;Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees;https://youtu.be/Ff4Dg3T4pNQ?si=xU9cm-kpyPdrIwA0;https://youtu.be/Ff4Dg3T4pNQ?si=xU9cm-kpyPdrIwA0;Novice;Shoulders;Posterior Deltoids;Infraspinatus;Teres Minor;Cable;1;None;0;Half Kneeling;Single Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Shoulder External Rotation;;;Transverse Plane;;;Upper Body;Pull;Isolation;Unilateral;Unsorted*
Miniband Fire Hydrant;https://youtu.be/gnzypKUFU6Y;https://youtu.be/gnzypKUFU6Y;Beginner;Glutes;Gluteus Maximus;Gluteus Medius;Gluteus Minimus;Miniband;1;None;0;Quadruped;No Arms;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Hip External Rotation;;;Transverse Plane;;;Lower Body;Other;Isolation;Unilateral;Bodybuilding
Medicine Ball Russian Twist;https://youtu.be/vT8p57mXVDo?feature=shared;https://youtu.be/vT8p57mXVDo?feature=shared;Novice;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Medicine Ball;1;None;0;Seated Floor;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bodyweight Side Plank;https://youtu.be/_R389Jk0tIo;https://youtu.be/_R389Jk0tIo;Novice;Abdominals;Obliques;Rectus Abdominis;;Bodyweight;1;None;0;Side Plank;Single Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Anti-Lateral Flexion;;;Frontal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Cable Reverse Crunch;https://youtu.be/3Mn_4KTDTi0?si=3zBBQ33AQDN7XPp4;https://youtu.be/3Mn_4KTDTi0?si=3zBBQ33AQDN7XPp4;Intermediate;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Cable;1;None;0;Supine;No Arms;Continuous;No Grip;Other;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Cable Rope Half Kneeling High to Low Chop;https://youtu.be/hUbRkz4AxkE;https://youtu.be/hUbRkz4AxkE;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Cable;1;None;0;Half Kneeling;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Cable Rope Half Kneeling Low to High Chop;https://youtu.be/48LIxDpby_E?feature=shared;https://youtu.be/48LIxDpby_E?feature=shared;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Cable;1;None;0;Half Kneeling;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;2;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Cable Rope Staggered Stance High to Low Chop ;https://youtu.be/FFaeQW7hwYs?feature=shared;https://youtu.be/FFaeQW7hwYs?feature=shared;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Cable;1;None;0;Staggered Stance;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Cable Rope Staggered Stance Low to High Chop;0;0;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Cable;1;None;0;Staggered Stance;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Single Arm Dumbbell Windmill;https://youtu.be/EVLXzqAzAHI;https://youtu.be/EVLXzqAzAHI;Intermediate;Abdominals;Obliques;Rectus Abdominis;Anterior Deltoids;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;2;Standing;Double Arm;Continuous;Bottoms Up;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;2;Standing;Double Arm;Continuous;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Bodyweight Feet On Wall Mountain Climber ;https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J;https://youtu.be/jGwHfj957eU?si=i-ZtryUkm2Geud9J;Advanced;Abdominals;Rectus Abdominis;Iliopsoas;Anterior Deltoids;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Alternating;Feet Elevated;Single Exercise;Anti-Extension;Spinal Flexion;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge;https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR;https://youtu.be/1SlpUMsiiiw?si=WnEVv0WTROHdU4eR;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Sliders;1;Kettlebell ;2;Standing;Double Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Bodyweight Hollow Body Hold;https://youtu.be/4xRpGgttca8;https://youtu.be/4xRpGgttca8;Novice;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Supine;Double Arm;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Isometric Hold;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Dumbbell Crush Grip Hollow Body Hold;https://youtu.be/Wo-pGZst6l0;https://youtu.be/Wo-pGZst6l0;Intermediate;Abdominals;Rectus Abdominis;;;Dumbbell;1;None;0;Supine;Double Arm;Continuous;Crush Grip;Other;Continuous;No Elevation;Single Exercise;Isometric Hold;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bar Inverted Hanging Crunch;https://youtu.be/LXQTkeYPki8;https://youtu.be/LXQTkeYPki8;Expert;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Pull Up Bar;1;None;0;Inverted ;No Arms;Continuous;Head Supported;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bodyweight Inverted Hanging Oblique Crunch;0;0;Expert;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Bodyweight;1;None;0;Inverted ;No Arms;Continuous;Head Supported;No Load;Continuous;No Elevation;Single Exercise;Rotational;Spinal Flexion;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge;https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC;https://youtu.be/-p1l0vXTtAU?si=ebEJZJZkoWYTDFbC;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Sliders;1;Kettlebell ;2;Standing;Double Arm;Continuous;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Bodyweight Supine Alternating Single Leg Raise;https://youtu.be/IUCoqgdvDxU?si=8xtgp1M-mJqke2mR;https://youtu.be/IUCoqgdvDxU?si=8xtgp1M-mJqke2mR;Beginner;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Bodyweight;1;None;0;Supine;No Arms;Continuous;No Grip;No Load;Alternating;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Bodyweight Supine Leg Raise;https://youtu.be/q0JVBRHoLz4;https://youtu.be/q0JVBRHoLz4;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Bodyweight;1;None;0;Supine;No Arms;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Hip Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Miniband Bicycle Crunch;https://youtu.be/q_c5MFYuza4;https://youtu.be/q_c5MFYuza4;Novice;Abdominals;Obliques;Rectus Abdominis;;Miniband;1;None;0;Supine;No Arms;Alternating;Head Supported;No Load;Alternating;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
Bodyweight Side Plank Reach Through;https://youtu.be/7lfNb_zydvQ;https://youtu.be/7lfNb_zydvQ;Novice;Abdominals;Obliques;Rectus Abdominis;;Bodyweight;1;None;0;Side Plank;Single Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Anti-Lateral Flexion;Spinal Rotational;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Calisthenics
Bodyweight Sit Up;https://youtu.be/bT8NVeDvuQg?si=paUR-bam-jwd-xPx;https://youtu.be/bT8NVeDvuQg?si=paUR-bam-jwd-xPx;Novice;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Supine;No Arms;Continuous;Head Supported;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bodyweight Butterfly Sit Up;https://youtu.be/ZLyOWSPnVrM;https://youtu.be/ZLyOWSPnVrM;Novice;Abdominals;Rectus Abdominis;;;Bodyweight;1;None;0;Supine;No Arms;Continuous;Head Supported;No Load;Continuous;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Slider Mountain Climber;https://youtu.be/fjHQIVIPLHY;https://youtu.be/fjHQIVIPLHY;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Anterior Deltoids;Sliders;2;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Alternating;No Elevation;Single Exercise;Anti-Extension;Spinal Flexion;;Sagittal Plane;;;Midsection;Other;Compound;Unilateral;Unsorted*
