Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Double Kettlebell Bottoms Up Front Rack Alternating Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Forward Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Reverse Lunge;https://youtu.be/A4SnLhdMKu4?si=AWoi6qQOHivzUZeZ;https://youtu.be/A4SnLhdMKu4?si=AWoi6qQOHivzUZeZ;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Suitcase Alternating Lateral Lunge;https://youtu.be/GkgTBlp417A?si=2RKL7GSC-wlwXQrE;https://youtu.be/GkgTBlp417A?si=2RKL7GSC-wlwXQrE;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Front Rack Alternating Lateral Lunge;https://youtu.be/V-crv5-Tqbg?si=k00dfu1tLmH4-h3a;https://youtu.be/V-crv5-Tqbg?si=k00dfu1tLmH4-h3a;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Front Rack Alternating Forward Lunge;https://youtu.be/Ambx6K-_AfY?si=2pUqPVUnlmZLMMwH;https://youtu.be/Ambx6K-_AfY?si=2pUqPVUnlmZLMMwH;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Front Rack Alternating Reverse Lunge;https://youtu.be/1iT74xBv0LA?si=vNMiZEtQ8W3QCkqc;https://youtu.be/1iT74xBv0LA?si=vNMiZEtQ8W3QCkqc;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Overhead Alternating Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Overhead Alternating Forward Lunge;https://youtu.be/8OZUh9sHk-8?si=euVM8-cldcw4zaJf;https://youtu.be/8OZUh9sHk-8?si=euVM8-cldcw4zaJf;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Overhead Alternating Reverse Lunge;https://youtu.be/eK7AzF0-rt4?si=0L-vfrm5QmGhcV2l;https://youtu.be/eK7AzF0-rt4?si=0L-vfrm5QmGhcV2l;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Suitcase Alternating Forward Lunge;https://youtu.be/DbANzYj8EWQ?si=NULTCgfWBvm6vNpX;https://youtu.be/DbANzYj8EWQ?si=NULTCgfWBvm6vNpX;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Suitcase Alternating Reverse Lunge;https://youtu.be/kTfl5mhcwso?si=iDo9iOmHhKSZIQlN;https://youtu.be/kTfl5mhcwso?si=iDo9iOmHhKSZIQlN;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Alternating Single Arm Dumbbell Low Hold Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Single Arm;Alternating;Neutral;Low Hold;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Front Rack Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Front Rack Alternating Forward Lunge;https://youtu.be/b3ewFBSqc9k?si=l6I7tV4HN4z6vcCS;https://youtu.be/b3ewFBSqc9k?si=l6I7tV4HN4z6vcCS;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Front Rack Alternating Reverse Lunge;https://youtu.be/1uuCmY9bVao?si=0iam54INq6LqKgrV;https://youtu.be/1uuCmY9bVao?si=0iam54INq6LqKgrV;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Overhead Alternating Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Overhead Alternating Forward Lunge;https://youtu.be/RNdGRLDFZ_E?si=ViWm3Cym-_kPAyPr;https://youtu.be/RNdGRLDFZ_E?si=ViWm3Cym-_kPAyPr;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Overhead Alternating Reverse Lunge;https://youtu.be/y6Z1csYJqI8?si=VJQkALrooI76ZWQ9;https://youtu.be/y6Z1csYJqI8?si=VJQkALrooI76ZWQ9;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Overhead Alternating Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Overhead Alternating Forward Lunge;https://youtu.be/iPBOqxEBcto?si=yJqaSgMnybSQX6Oy;https://youtu.be/iPBOqxEBcto?si=yJqaSgMnybSQX6Oy;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Overhead Alternating Reverse Lunge;https://youtu.be/HFjBFM1Fswo?si=BiUd6crmcvrtRZx2;https://youtu.be/HFjBFM1Fswo?si=BiUd6crmcvrtRZx2;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Dumbbell Goblet Alternating Lateral Lunge;https://youtu.be/xFvob3P7I74?si=o6y90mzLlkb5kjLo;https://youtu.be/xFvob3P7I74?si=o6y90mzLlkb5kjLo;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Dumbbell Goblet Alternating Forward Lunge;https://youtu.be/MjHkEW-AMQI?si=EyW7vqzwyfCJv1bN;https://youtu.be/MjHkEW-AMQI?si=EyW7vqzwyfCJv1bN;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Dumbbell Goblet Alternating Reverse Lunge;https://youtu.be/YidVOnuiDfc?si=ECuN-ZTMBkyH_maZ;https://youtu.be/YidVOnuiDfc?si=ECuN-ZTMBkyH_maZ;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Dumbbell;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Clubbell Order Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Clubbell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Clubbell Order Alternating Forward Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Clubbell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Clubbell Order Alternating Reverse Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Clubbell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Clubbell Order Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Clubbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Clubbell Order Alternating Forward Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Clubbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Clubbell Order Alternating Reverse Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Clubbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
